delivery_date,hour_ending,resource_name,zone,price,mw
2024-08-01,1,CATARINA_BESS,south,0.95,1.5
2024-08-01,1,CATARINA_BESS,south,0.95,2.5
2024-08-01,1,CATARINA_BESS,south,0.95,2.5
2024-08-01,1,CATARINA_BESS,south,0.95,2.5
2024-08-01,1,CEDRVALE_BESS,west,0.95,1.5
2024-08-01,1,CEDRVALE_BESS,west,0.95,2.5
2024-08-01,1,CEDRVALE_BESS,west,0.95,2.5
2024-08-01,1,CEDRVALE_BESS,west,0.95,2.5
2024-08-01,1,COYOTSPR_BESS,west,0.95,0.1
2024-08-01,1,DIBOL_BESS,north,0.95,1.5
2024-08-01,1,DIBOL_BESS,north,0.95,2.5
2024-08-01,1,DIBOL_BESS,north,0.95,2.5
2024-08-01,1,DIBOL_BESS,north,0.95,2.5
2024-08-01,1,FAULKNER_BESS,west,0.95,1.5
2024-08-01,1,FAULKNER_BESS,west,0.95,2.5
2024-08-01,1,FAULKNER_BESS,west,0.95,2.5
2024-08-01,1,FAULKNER_BESS,west,0.95,2.5
2024-08-01,1,FRMRSVLW_BESS,north,0.95,1.5
2024-08-01,1,FRMRSVLW_BESS,north,0.95,2.5
2024-08-01,1,FRMRSVLW_BESS,north,0.95,2.5
2024-08-01,1,FRMRSVLW_BESS,north,0.95,2.5
2024-08-01,1,GOMZ_BESS,west,0.95,1.5
2024-08-01,1,GOMZ_BESS,west,0.95,2.5
2024-08-01,1,GOMZ_BESS,west,0.95,2.5
2024-08-01,1,GOMZ_BESS,west,0.95,2.5
2024-08-01,1,GRDNE_BESS,west,0.95,1.5
2024-08-01,1,GRDNE_BESS,west,0.95,2.5
2024-08-01,1,GRDNE_BESS,west,0.95,2.5
2024-08-01,1,GRDNE_BESS,west,0.95,2.5
2024-08-01,1,HAMILTON_BESS,west,0.95,1.5
2024-08-01,1,HAMILTON_BESS,west,0.95,2.5
2024-08-01,1,HAMILTON_BESS,west,0.95,2.5
2024-08-01,1,HAMILTON_BESS,west,0.95,2.5
2024-08-01,1,HOLCOMB_BESS,south,0.95,1.5
2024-08-01,1,HOLCOMB_BESS,south,0.95,2.5
2024-08-01,1,HOLCOMB_BESS,south,0.95,2.5
2024-08-01,1,HOLCOMB_BESS,south,0.95,2.5
2024-08-01,1,JDKNS_BESS,west,0.95,1.5
2024-08-01,1,JDKNS_BESS,west,0.95,2.5
2024-08-01,1,JDKNS_BESS,west,0.95,2.5
2024-08-01,1,JDKNS_BESS,west,0.95,2.5
2024-08-01,1,JUNCTION_BESS,south,0.95,1.5
2024-08-01,1,JUNCTION_BESS,south,0.95,2.5
2024-08-01,1,JUNCTION_BESS,south,0.95,2.5
2024-08-01,1,JUNCTION_BESS,south,0.95,2.5
2024-08-01,1,LFSTH_BESS,north,0.95,1.5
2024-08-01,1,LFSTH_BESS,north,0.95,2.5
2024-08-01,1,LFSTH_BESS,north,0.95,2.5
2024-08-01,1,LFSTH_BESS,north,0.95,2.5
2024-08-01,1,LONESTAR_BESS,west,0.95,1.5
2024-08-01,1,LONESTAR_BESS,west,0.95,2.5
2024-08-01,1,LONESTAR_BESS,west,0.95,2.5
2024-08-01,1,LONESTAR_BESS,west,0.95,2.5
2024-08-01,1,MAINLAND_BESS,houston,0.95,2.5
